EmployeeNumber,Attrition,cluster,cluster_reclassificado,confianca,persona
1,Yes,0,0,baixa,Estáveis e engajados
2,No,0,0,alta,Estáveis e engajados
4,Yes,1,1,alta,"Risco de attrition, Início de carreira"
5,No,1,1,alta,"Risco de attrition, Início de carreira"
7,No,0,0,baixa,Estáveis e engajados
8,No,1,1,alta,"Risco de attrition, Início de carreira"
10,No,1,1,alta,"Risco de attrition, Início de carreira"
11,No,1,1,alta,"Risco de attrition, Início de carreira"
12,No,0,0,baixa,Estáveis e engajados
13,No,0,0,alta,Estáveis e engajados
14,No,1,1,media,"Risco de attrition, Início de carreira"
15,No,1,1,alta,"Risco de attrition, Início de carreira"
16,No,1,1,alta,"Risco de attrition, Início de carreira"
18,No,1,1,alta,"Risco de attrition, Início de carreira"
19,Yes,1,1,alta,"Risco de attrition, Início de carreira"
20,No,1,1,baixa,"Risco de attrition, Início de carreira"
21,No,1,1,alta,"Risco de attrition, Início de carreira"
22,No,1,1,alta,"Risco de attrition, Início de carreira"
23,No,0,0,alta,Estáveis e engajados
24,No,1,1,alta,"Risco de attrition, Início de carreira"
26,No,1,1,alta,"Risco de attrition, Início de carreira"
27,Yes,0,0,media,Estáveis e engajados
28,No,1,1,alta,"Risco de attrition, Início de carreira"
30,No,1,1,alta,"Risco de attrition, Início de carreira"
31,Yes,1,1,alta,"Risco de attrition, Início de carreira"
32,No,0,0,media,Estáveis e engajados
33,Yes,1,1,alta,"Risco de attrition, Início de carreira"
35,No,0,0,alta,Estáveis e engajados
36,No,0,0,media,Estáveis e engajados
38,No,1,1,alta,"Risco de attrition, Início de carreira"
39,No,1,1,alta,"Risco de attrition, Início de carreira"
40,No,0,0,alta,Estáveis e engajados
41,No,1,1,alta,"Risco de attrition, Início de carreira"
42,Yes,0,0,alta,Estáveis e engajados
45,Yes,1,1,alta,"Risco de attrition, Início de carreira"
46,No,1,1,alta,"Risco de attrition, Início de carreira"
47,Yes,0,0,media,Estáveis e engajados
49,No,0,0,baixa,Estáveis e engajados
51,No,1,1,alta,"Risco de attrition, Início de carreira"
52,No,0,0,alta,Estáveis e engajados
53,No,1,1,alta,"Risco de attrition, Início de carreira"
54,No,1,1,alta,"Risco de attrition, Início de carreira"
55,Yes,1,1,alta,"Risco de attrition, Início de carreira"
56,No,0,0,alta,Estáveis e engajados
57,No,1,1,alta,"Risco de attrition, Início de carreira"
58,Yes,0,0,baixa,Estáveis e engajados
60,No,0,0,alta,Estáveis e engajados
61,No,1,1,alta,"Risco de attrition, Início de carreira"
62,No,0,0,alta,Estáveis e engajados
63,No,1,1,alta,"Risco de attrition, Início de carreira"
64,Yes,1,1,alta,"Risco de attrition, Início de carreira"
65,Yes,1,1,alta,"Risco de attrition, Início de carreira"
68,No,0,0,media,Estáveis e engajados
70,No,0,0,alta,Estáveis e engajados
72,No,0,0,alta,Estáveis e engajados
73,No,1,1,alta,"Risco de attrition, Início de carreira"
74,No,0,0,alta,Estáveis e engajados
75,No,1,1,alta,"Risco de attrition, Início de carreira"
76,No,0,0,alta,Estáveis e engajados
77,No,0,0,alta,Estáveis e engajados
78,No,0,0,alta,Estáveis e engajados
79,No,1,1,alta,"Risco de attrition, Início de carreira"
80,No,1,1,media,"Risco de attrition, Início de carreira"
81,No,0,0,alta,Estáveis e engajados
83,No,0,0,alta,Estáveis e engajados
84,No,1,1,alta,"Risco de attrition, Início de carreira"
85,No,1,1,alta,"Risco de attrition, Início de carreira"
86,No,1,1,alta,"Risco de attrition, Início de carreira"
88,No,1,1,alta,"Risco de attrition, Início de carreira"
90,Yes,1,1,alta,"Risco de attrition, Início de carreira"
91,No,1,1,media,"Risco de attrition, Início de carreira"
94,No,1,1,media,"Risco de attrition, Início de carreira"
95,No,1,1,alta,"Risco de attrition, Início de carreira"
96,No,0,0,alta,Estáveis e engajados
97,No,1,1,alta,"Risco de attrition, Início de carreira"
98,No,1,1,alta,"Risco de attrition, Início de carreira"
100,No,0,0,alta,Estáveis e engajados
101,No,0,0,alta,Estáveis e engajados
102,No,1,1,alta,"Risco de attrition, Início de carreira"
103,No,1,1,baixa,"Risco de attrition, Início de carreira"
104,No,0,0,alta,Estáveis e engajados
105,No,1,1,alta,"Risco de attrition, Início de carreira"
106,No,0,0,alta,Estáveis e engajados
107,No,1,1,alta,"Risco de attrition, Início de carreira"
110,No,1,1,media,"Risco de attrition, Início de carreira"
112,No,0,0,baixa,Estáveis e engajados
113,No,0,0,alta,Estáveis e engajados
116,No,0,0,media,Estáveis e engajados
117,No,0,0,alta,Estáveis e engajados
118,Yes,0,0,alta,Estáveis e engajados
119,No,0,0,alta,Estáveis e engajados
120,No,0,0,alta,Estáveis e engajados
121,No,0,0,alta,Estáveis e engajados
124,No,0,0,alta,Estáveis e engajados
125,No,0,0,alta,Estáveis e engajados
126,No,0,0,baixa,Estáveis e engajados
128,No,0,0,alta,Estáveis e engajados
129,No,0,0,alta,Estáveis e engajados
131,No,0,0,alta,Estáveis e engajados
132,No,0,0,baixa,Estáveis e engajados
133,Yes,1,1,media,"Risco de attrition, Início de carreira"
134,No,1,1,alta,"Risco de attrition, Início de carreira"
137,Yes,1,1,alta,"Risco de attrition, Início de carreira"
138,No,1,1,alta,"Risco de attrition, Início de carreira"
139,No,1,1,alta,"Risco de attrition, Início de carreira"
140,No,0,0,alta,Estáveis e engajados
141,No,1,1,alta,"Risco de attrition, Início de carreira"
142,Yes,0,0,alta,Estáveis e engajados
143,No,1,1,alta,"Risco de attrition, Início de carreira"
144,No,1,1,alta,"Risco de attrition, Início de carreira"
145,No,1,1,alta,"Risco de attrition, Início de carreira"
147,Yes,1,1,alta,"Risco de attrition, Início de carreira"
148,No,1,1,alta,"Risco de attrition, Início de carreira"
150,No,0,0,baixa,Estáveis e engajados
151,No,1,1,alta,"Risco de attrition, Início de carreira"
152,No,0,0,alta,Estáveis e engajados
153,No,1,1,alta,"Risco de attrition, Início de carreira"
154,No,0,0,alta,Estáveis e engajados
155,No,1,1,alta,"Risco de attrition, Início de carreira"
158,No,0,0,alta,Estáveis e engajados
159,No,1,1,alta,"Risco de attrition, Início de carreira"
160,No,0,0,alta,Estáveis e engajados
161,Yes,1,1,alta,"Risco de attrition, Início de carreira"
162,No,0,0,baixa,Estáveis e engajados
163,Yes,0,0,alta,Estáveis e engajados
164,No,1,1,alta,"Risco de attrition, Início de carreira"
165,Yes,0,0,alta,Estáveis e engajados
167,Yes,1,1,alta,"Risco de attrition, Início de carreira"
169,No,1,1,media,"Risco de attrition, Início de carreira"
170,No,1,1,media,"Risco de attrition, Início de carreira"
171,No,1,1,alta,"Risco de attrition, Início de carreira"
174,No,1,1,alta,"Risco de attrition, Início de carreira"
175,Yes,0,0,alta,Estáveis e engajados
176,No,0,0,alta,Estáveis e engajados
177,No,0,0,alta,Estáveis e engajados
178,No,1,1,alta,"Risco de attrition, Início de carreira"
179,Yes,1,1,alta,"Risco de attrition, Início de carreira"
182,No,0,0,alta,Estáveis e engajados
183,No,0,0,alta,Estáveis e engajados
184,No,0,0,alta,Estáveis e engajados
190,Yes,1,1,alta,"Risco de attrition, Início de carreira"
192,No,1,1,alta,"Risco de attrition, Início de carreira"
193,No,1,1,alta,"Risco de attrition, Início de carreira"
194,No,1,1,alta,"Risco de attrition, Início de carreira"
195,No,0,0,alta,Estáveis e engajados
197,No,1,1,alta,"Risco de attrition, Início de carreira"
198,No,1,1,alta,"Risco de attrition, Início de carreira"
199,No,0,0,alta,Estáveis e engajados
200,No,1,1,baixa,"Risco de attrition, Início de carreira"
201,No,1,1,alta,"Risco de attrition, Início de carreira"
202,No,1,1,alta,"Risco de attrition, Início de carreira"
204,No,0,0,alta,Estáveis e engajados
205,No,0,0,alta,Estáveis e engajados
206,No,1,1,baixa,"Risco de attrition, Início de carreira"
207,No,0,0,alta,Estáveis e engajados
208,No,0,0,alta,Estáveis e engajados
211,No,1,1,media,"Risco de attrition, Início de carreira"
214,No,1,1,alta,"Risco de attrition, Início de carreira"
215,No,0,0,alta,Estáveis e engajados
216,No,1,1,baixa,"Risco de attrition, Início de carreira"
217,No,1,1,media,"Risco de attrition, Início de carreira"
218,No,1,1,alta,"Risco de attrition, Início de carreira"
221,No,1,1,alta,"Risco de attrition, Início de carreira"
223,No,0,0,alta,Estáveis e engajados
224,No,1,1,alta,"Risco de attrition, Início de carreira"
226,No,1,1,alta,"Risco de attrition, Início de carreira"
227,No,1,1,media,"Risco de attrition, Início de carreira"
228,No,0,0,alta,Estáveis e engajados
230,No,1,1,alta,"Risco de attrition, Início de carreira"
231,No,1,1,alta,"Risco de attrition, Início de carreira"
233,No,1,1,baixa,"Risco de attrition, Início de carreira"
235,Yes,1,1,alta,"Risco de attrition, Início de carreira"
238,No,1,1,baixa,"Risco de attrition, Início de carreira"
239,No,0,0,alta,Estáveis e engajados
240,No,0,0,alta,Estáveis e engajados
241,No,1,1,alta,"Risco de attrition, Início de carreira"
242,No,1,1,alta,"Risco de attrition, Início de carreira"
243,Yes,1,1,alta,"Risco de attrition, Início de carreira"
244,No,0,0,alta,Estáveis e engajados
245,No,1,1,alta,"Risco de attrition, Início de carreira"
246,No,1,1,alta,"Risco de attrition, Início de carreira"
247,No,1,1,alta,"Risco de attrition, Início de carreira"
248,Yes,1,1,alta,"Risco de attrition, Início de carreira"
249,No,1,1,media,"Risco de attrition, Início de carreira"
250,No,1,1,alta,"Risco de attrition, Início de carreira"
252,No,1,1,alta,"Risco de attrition, Início de carreira"
253,No,0,0,alta,Estáveis e engajados
254,No,0,0,baixa,Estáveis e engajados
256,No,0,0,alta,Estáveis e engajados
258,No,1,1,alta,"Risco de attrition, Início de carreira"
259,No,0,0,alta,Estáveis e engajados
260,No,1,1,alta,"Risco de attrition, Início de carreira"
261,Yes,1,1,baixa,"Risco de attrition, Início de carreira"
262,No,1,1,alta,"Risco de attrition, Início de carreira"
264,No,0,0,alta,Estáveis e engajados
267,No,0,0,alta,Estáveis e engajados
269,No,1,1,alta,"Risco de attrition, Início de carreira"
270,No,1,1,media,"Risco de attrition, Início de carreira"
271,No,0,0,alta,Estáveis e engajados
273,No,0,0,alta,Estáveis e engajados
274,No,0,0,media,Estáveis e engajados
275,No,0,0,alta,Estáveis e engajados
277,No,1,1,alta,"Risco de attrition, Início de carreira"
281,No,0,0,alta,Estáveis e engajados
282,Yes,1,1,media,"Risco de attrition, Início de carreira"
283,Yes,0,0,alta,Estáveis e engajados
284,No,1,1,alta,"Risco de attrition, Início de carreira"
286,No,1,1,alta,"Risco de attrition, Início de carreira"
287,No,0,0,alta,Estáveis e engajados
288,No,1,1,baixa,"Risco de attrition, Início de carreira"
291,Yes,0,0,alta,Estáveis e engajados
292,No,0,0,baixa,Estáveis e engajados
293,No,0,0,media,Estáveis e engajados
296,No,0,0,alta,Estáveis e engajados
297,Yes,1,1,alta,"Risco de attrition, Início de carreira"
298,No,1,1,alta,"Risco de attrition, Início de carreira"
299,Yes,1,1,baixa,"Risco de attrition, Início de carreira"
300,Yes,1,1,alta,"Risco de attrition, Início de carreira"
302,No,0,0,alta,Estáveis e engajados
303,No,0,0,alta,Estáveis e engajados
304,No,0,0,media,Estáveis e engajados
305,No,1,1,alta,"Risco de attrition, Início de carreira"
306,No,0,0,media,Estáveis e engajados
307,No,0,0,alta,Estáveis e engajados
308,No,0,0,alta,Estáveis e engajados
309,No,1,1,alta,"Risco de attrition, Início de carreira"
311,No,0,0,alta,Estáveis e engajados
312,No,0,0,alta,Estáveis e engajados
314,No,0,0,alta,Estáveis e engajados
315,Yes,1,1,alta,"Risco de attrition, Início de carreira"
316,No,1,1,alta,"Risco de attrition, Início de carreira"
319,No,0,0,alta,Estáveis e engajados
321,No,0,0,baixa,Estáveis e engajados
323,No,0,0,alta,Estáveis e engajados
325,Yes,0,0,alta,Estáveis e engajados
327,No,0,0,alta,Estáveis e engajados
328,Yes,1,1,alta,"Risco de attrition, Início de carreira"
329,No,0,0,alta,Estáveis e engajados
330,No,0,0,alta,Estáveis e engajados
331,Yes,1,1,alta,"Risco de attrition, Início de carreira"
332,No,1,1,alta,"Risco de attrition, Início de carreira"
333,No,0,0,alta,Estáveis e engajados
334,No,1,1,alta,"Risco de attrition, Início de carreira"
335,No,0,0,alta,Estáveis e engajados
336,No,0,0,alta,Estáveis e engajados
337,No,0,0,media,Estáveis e engajados
338,No,1,1,alta,"Risco de attrition, Início de carreira"
339,No,0,0,alta,Estáveis e engajados
340,No,1,1,alta,"Risco de attrition, Início de carreira"
341,No,0,0,baixa,Estáveis e engajados
342,Yes,1,1,baixa,"Risco de attrition, Início de carreira"
343,No,1,1,alta,"Risco de attrition, Início de carreira"
346,No,1,1,alta,"Risco de attrition, Início de carreira"
347,No,1,1,alta,"Risco de attrition, Início de carreira"
349,No,0,0,alta,Estáveis e engajados
350,No,1,1,alta,"Risco de attrition, Início de carreira"
351,No,1,1,media,"Risco de attrition, Início de carreira"
352,No,0,0,alta,Estáveis e engajados
353,No,1,1,alta,"Risco de attrition, Início de carreira"
355,Yes,1,1,alta,"Risco de attrition, Início de carreira"
359,No,1,1,alta,"Risco de attrition, Início de carreira"
361,No,0,0,alta,Estáveis e engajados
362,No,1,1,alta,"Risco de attrition, Início de carreira"
363,No,0,0,alta,Estáveis e engajados
364,Yes,1,1,alta,"Risco de attrition, Início de carreira"
366,No,0,0,alta,Estáveis e engajados
367,No,0,0,alta,Estáveis e engajados
369,No,1,1,alta,"Risco de attrition, Início de carreira"
372,No,0,0,alta,Estáveis e engajados
373,No,0,0,alta,Estáveis e engajados
374,No,1,1,baixa,"Risco de attrition, Início de carreira"
376,Yes,0,0,alta,Estáveis e engajados
377,No,1,1,alta,"Risco de attrition, Início de carreira"
378,No,0,0,alta,Estáveis e engajados
379,No,1,1,alta,"Risco de attrition, Início de carreira"
380,No,1,1,alta,"Risco de attrition, Início de carreira"
381,No,1,1,media,"Risco de attrition, Início de carreira"
382,No,0,0,alta,Estáveis e engajados
384,No,1,1,media,"Risco de attrition, Início de carreira"
385,No,0,0,alta,Estáveis e engajados
386,No,0,0,alta,Estáveis e engajados
387,No,0,0,alta,Estáveis e engajados
388,No,0,0,alta,Estáveis e engajados
389,No,0,0,alta,Estáveis e engajados
390,No,0,0,alta,Estáveis e engajados
391,No,1,1,alta,"Risco de attrition, Início de carreira"
392,Yes,1,1,alta,"Risco de attrition, Início de carreira"
393,No,0,0,baixa,Estáveis e engajados
394,Yes,1,1,alta,"Risco de attrition, Início de carreira"
395,No,1,1,alta,"Risco de attrition, Início de carreira"
396,No,1,1,alta,"Risco de attrition, Início de carreira"
397,No,1,1,alta,"Risco de attrition, Início de carreira"
399,No,1,1,alta,"Risco de attrition, Início de carreira"
401,Yes,0,0,alta,Estáveis e engajados
403,No,1,1,alta,"Risco de attrition, Início de carreira"
404,No,0,0,alta,Estáveis e engajados
405,Yes,1,1,alta,"Risco de attrition, Início de carreira"
406,No,0,0,alta,Estáveis e engajados
407,No,1,1,alta,"Risco de attrition, Início de carreira"
408,No,0,0,baixa,Estáveis e engajados
410,No,0,0,alta,Estáveis e engajados
411,No,1,1,alta,"Risco de attrition, Início de carreira"
412,No,1,1,alta,"Risco de attrition, Início de carreira"
416,No,0,0,alta,Estáveis e engajados
