EmployeeNumber,Attrition,PerformanceRating
1,Yes,3
2,No,4
4,Yes,3
5,No,3
7,No,3
8,No,3
10,No,4
11,No,4
12,No,4
13,No,3
14,No,3
15,No,3
16,No,3
18,No,3
19,Yes,3
20,No,3
21,No,3
22,No,3
23,No,3
24,No,3
26,No,3
27,Yes,4
28,No,3
30,No,3
31,Yes,3
32,No,3
33,Yes,4
35,No,3
36,No,3
38,No,3
39,No,3
40,No,3
41,No,3
42,Yes,3
45,Yes,3
46,No,3
47,Yes,3
49,No,3
51,No,3
52,No,3
53,No,3
54,No,3
55,Yes,3
56,No,3
57,No,4
58,Yes,3
60,No,4
61,No,4
62,No,4
63,No,3
64,Yes,3
65,Yes,3
68,No,4
70,No,3
72,No,3
73,No,3
74,No,4
75,No,3
76,No,4
77,No,3
78,No,4
79,No,3
80,No,3
81,No,3
83,No,3
84,No,3
85,No,3
86,No,3
88,No,3
90,Yes,3
91,No,3
94,No,4
95,No,3
96,No,3
97,No,3
98,No,4
100,No,3
101,No,3
102,No,3
103,No,4
104,No,3
105,No,3
106,No,3
107,No,3
110,No,3
112,No,3
113,No,3
116,No,4
117,No,3
118,Yes,3
119,No,4
120,No,4
121,No,3
124,No,3
125,No,3
126,No,3
128,No,4
129,No,3
131,No,3
132,No,3
133,Yes,4
134,No,3
137,Yes,3
138,No,3
139,No,3
140,No,4
141,No,3
142,Yes,3
143,No,3
144,No,3
145,No,4
147,Yes,4
148,No,3
150,No,3
151,No,3
152,No,3
153,No,3
154,No,3
155,No,4
158,No,3
159,No,4
160,No,3
161,Yes,3
162,No,3
163,Yes,3
164,No,3
165,Yes,3
167,Yes,3
169,No,3
170,No,3
171,No,3
174,No,3
175,Yes,3
176,No,3
177,No,4
178,No,4
179,Yes,3
182,No,3
183,No,3
184,No,3
190,Yes,4
192,No,3
193,No,4
194,No,3
195,No,3
197,No,3
198,No,3
199,No,3
200,No,4
201,No,3
202,No,3
204,No,3
205,No,4
206,No,3
207,No,3
208,No,3
211,No,3
214,No,4
215,No,3
216,No,3
217,No,4
218,No,3
221,No,3
223,No,3
224,No,3
226,No,3
227,No,3
228,No,3
230,No,4
231,No,4
233,No,3
235,Yes,4
238,No,3
239,No,3
240,No,3
241,No,3
242,No,3
243,Yes,4
244,No,4
245,No,3
246,No,4
247,No,3
248,Yes,4
249,No,3
250,No,3
252,No,3
253,No,3
254,No,3
256,No,3
258,No,3
259,No,3
260,No,3
261,Yes,3
262,No,3
264,No,4
267,No,3
269,No,3
270,No,3
271,No,3
273,No,3
274,No,3
275,No,3
277,No,3
281,No,3
282,Yes,3
283,Yes,4
284,No,3
286,No,3
287,No,3
288,No,3
291,Yes,3
292,No,4
293,No,3
296,No,3
297,Yes,3
298,No,3
299,Yes,3
300,Yes,3
302,No,3
303,No,3
304,No,3
305,No,4
306,No,3
307,No,3
308,No,3
309,No,3
311,No,3
312,No,3
314,No,3
315,Yes,3
316,No,3
319,No,3
321,No,3
323,No,3
325,Yes,3
327,No,4
328,Yes,4
329,No,3
330,No,3
331,Yes,3
332,No,3
333,No,3
334,No,3
335,No,3
336,No,3
337,No,3
338,No,3
339,No,3
340,No,3
341,No,3
342,Yes,3
343,No,4
346,No,3
347,No,3
349,No,3
350,No,3
351,No,3
352,No,3
353,No,3
355,Yes,3
359,No,4
361,No,3
362,No,3
363,No,3
364,Yes,3
366,No,3
367,No,4
369,No,3
372,No,3
373,No,3
374,No,3
376,Yes,3
377,No,4
378,No,3
379,No,3
380,No,3
381,No,3
382,No,4
384,No,4
385,No,3
386,No,3
387,No,4
388,No,3
389,No,3
390,No,3
391,No,3
392,Yes,4
393,No,3
394,Yes,3
395,No,4
396,No,3
397,No,3
399,No,3
401,Yes,3
403,No,3
404,No,3
405,Yes,3
406,No,3
407,No,3
408,No,3
410,No,3
411,No,3
412,No,3
416,No,3
417,No,3
419,No,3
420,No,3
421,No,3
422,No,3
423,No,3
424,No,3
425,No,3
426,No,3
428,No,3
429,No,3
430,No,3
431,No,3
433,Yes,3
434,No,3
436,No,3
437,No,3
438,No,3
439,No,3
