EmployeeNumber,cluster_kmedoids_gower,cluster_hierarquico_gower,cluster_kmeans,cluster_dbscan,cluster_gmm
1,0,1,0,0,1
2,0,1,0,0,0
4,1,1,0,0,0
5,1,1,0,0,0
7,0,1,0,0,0
8,1,1,0,0,0
10,1,1,0,0,0
11,1,1,0,0,0
12,0,1,0,0,0
13,0,1,0,0,0
14,1,1,0,0,0
15,1,1,0,0,0
16,1,1,0,0,0
18,1,1,0,0,0
19,1,1,0,0,0
20,1,1,1,0,0
21,1,1,0,0,0
22,1,1,0,0,0
23,0,1,1,0,1
24,1,1,0,0,0
26,1,1,0,0,0
27,0,1,0,0,1
28,1,1,1,0,1
30,1,1,0,0,0
31,1,1,0,0,0
32,0,1,1,0,1
33,1,1,0,0,0
35,0,1,0,0,1
36,0,1,1,0,0
38,1,1,1,0,1
39,1,1,0,0,0
40,0,1,0,0,0
41,1,1,0,0,0
42,0,1,0,0,1
45,1,1,0,0,0
46,1,1,0,0,0
47,0,1,0,0,1
49,0,1,0,0,1
51,1,1,0,0,0
52,0,1,0,0,1
53,1,1,0,0,0
54,1,1,0,0,0
55,1,1,0,0,0
56,0,1,0,0,1
57,1,1,0,0,0
58,0,1,1,0,1
60,0,1,0,0,1
61,1,1,0,0,0
62,0,1,0,0,1
63,1,1,0,0,0
64,1,1,0,0,0
65,1,1,0,0,0
68,0,1,0,0,1
70,0,1,0,0,0
72,0,1,0,0,1
73,1,1,1,0,1
74,0,1,0,0,1
75,1,1,0,0,0
76,0,1,0,0,0
77,0,1,0,0,0
78,0,1,0,0,0
79,1,1,0,0,0
80,1,1,1,0,1
81,0,1,1,0,1
83,0,1,1,0,0
84,1,1,1,0,1
85,1,1,0,0,0
86,1,1,0,0,0
88,1,1,0,0,0
90,1,1,0,0,0
91,1,1,0,0,1
94,1,1,0,0,0
95,1,1,0,0,0
96,0,1,0,0,0
97,1,1,0,0,0
98,1,1,0,0,0
100,0,1,0,0,1
101,0,1,1,0,1
102,1,1,1,0,1
103,1,1,0,-1,1
104,0,1,0,0,0
105,1,1,0,0,0
106,0,1,0,0,1
107,1,1,0,0,0
110,1,1,0,0,0
112,0,1,1,0,0
113,0,1,0,0,1
116,0,1,0,0,0
117,0,1,0,0,0
118,0,1,0,0,1
119,0,1,1,0,0
120,0,1,0,0,1
121,0,1,0,0,1
124,0,1,1,0,0
125,0,1,0,0,1
126,0,1,1,0,1
128,0,1,0,0,1
129,0,1,0,0,1
131,0,1,1,0,1
132,0,1,0,0,0
133,1,1,0,-1,1
134,1,1,0,0,0
137,1,1,0,0,0
138,1,1,0,0,0
139,1,1,0,0,0
140,0,0,1,-1,1
141,1,1,1,0,1
142,0,1,0,0,1
143,1,1,0,0,0
144,1,1,0,0,0
145,1,1,1,0,0
147,1,1,0,0,0
148,1,0,1,-1,1
150,0,1,0,0,0
151,1,1,0,0,0
152,0,1,0,0,1
153,1,1,1,0,1
154,0,1,0,0,1
155,1,1,0,0,0
158,0,1,1,0,1
159,1,1,0,0,0
160,0,1,0,0,1
161,1,1,0,0,0
162,0,1,1,0,1
163,0,1,0,0,1
164,1,1,0,0,0
165,0,1,1,0,0
167,1,1,0,0,1
169,1,1,0,0,0
170,1,1,1,0,0
171,1,1,0,0,0
174,1,1,0,0,1
175,0,1,0,0,1
176,0,1,0,0,1
177,0,1,0,-1,1
178,1,1,0,0,0
179,1,1,0,0,0
182,0,1,1,0,1
183,0,1,0,0,1
184,0,1,0,-1,1
190,1,1,0,0,0
192,1,1,0,0,0
193,1,1,0,0,0
194,1,1,0,0,0
195,0,1,0,0,1
197,1,1,0,0,0
198,1,1,0,0,0
199,0,1,1,0,1
200,1,1,0,0,0
201,1,1,0,0,0
202,1,1,1,0,0
204,0,1,0,0,1
205,0,1,0,0,1
206,1,1,1,0,0
207,0,1,0,0,1
208,0,1,0,0,0
211,1,1,0,0,0
214,1,1,0,0,0
215,0,1,1,0,1
216,1,1,0,0,1
217,1,1,0,0,0
218,1,1,0,0,0
221,1,1,0,0,0
223,0,1,0,0,0
224,1,1,0,0,0
226,1,1,1,0,1
227,1,1,0,0,0
228,0,1,1,0,1
230,1,1,0,0,1
231,1,1,0,0,0
233,1,1,0,0,0
235,1,1,0,0,1
238,1,1,0,0,0
239,0,1,0,0,0
240,0,1,0,0,1
241,1,1,0,0,0
242,1,1,0,0,0
243,1,1,0,0,0
244,0,1,1,0,1
245,1,1,0,0,0
246,1,1,0,0,0
247,1,1,0,0,0
248,1,1,0,0,1
249,1,1,0,0,0
250,1,1,0,0,0
252,1,1,0,0,0
253,0,1,1,0,1
254,0,1,1,0,1
256,0,1,0,0,0
258,1,1,1,0,0
259,0,1,1,0,1
260,1,1,0,0,0
261,1,1,0,0,0
262,1,1,0,0,0
264,0,1,1,0,1
267,0,1,0,0,0
269,1,1,0,0,0
270,1,1,0,0,0
271,0,1,0,0,0
273,0,1,0,0,0
274,0,1,0,0,0
275,0,1,0,0,0
277,1,1,0,0,0
281,0,1,0,0,0
282,1,1,0,0,0
283,0,1,0,0,1
284,1,1,0,0,0
286,1,1,0,0,0
287,0,1,0,0,0
288,1,1,0,0,0
291,0,1,1,0,1
292,0,1,0,0,0
293,0,1,0,0,1
296,0,1,1,0,1
297,1,1,0,0,0
298,1,1,1,0,1
299,1,1,0,0,1
300,1,1,0,0,0
302,0,1,1,0,1
303,0,1,0,0,1
304,0,1,0,0,0
305,1,1,0,0,0
306,0,1,1,0,1
307,0,1,1,0,1
308,0,1,0,0,0
309,1,1,0,0,0
311,0,1,0,0,1
312,0,1,0,0,1
314,0,1,0,0,1
315,1,1,0,0,0
316,1,1,0,0,0
319,0,1,1,0,1
321,0,1,0,-1,1
323,0,1,1,0,1
325,0,1,0,0,0
327,0,1,1,0,1
328,1,1,0,0,0
329,0,1,1,0,1
330,0,1,0,0,1
331,1,1,0,0,0
332,1,1,0,0,0
