,CP1,CP2,CP3,CP4
Age,0.277,0.379,0.053,0.023
DailyRate,-0.004,0.063,0.239,0.23
DistanceFromHome,0.004,-0.028,0.264,0.2
HourlyRate,-0.01,0.055,0.447,-0.224
MonthlyIncome,0.375,0.251,-0.14,0.072
MonthlyRate,0.006,0.071,-0.301,0.019
NumCompaniesWorked,0.048,0.486,0.087,-0.084
PercentSalaryHike,-0.016,-0.011,0.105,0.46
TotalWorkingYears,0.403,0.227,-0.027,0.041
TrainingTimesLastYear,-0.011,-0.073,-0.121,-0.068
YearsAtCompany,0.392,-0.283,0.022,-0.025
YearsInCurrentRole,0.336,-0.345,0.087,-0.016
YearsSinceLastPromotion,0.297,-0.26,0.017,-0.067
YearsWithCurrManager,0.33,-0.354,0.105,-0.05
Education,0.078,0.178,0.281,-0.093
JobLevel,0.383,0.237,-0.136,0.075
StockOptionLevel,0.016,0.004,0.39,0.199
EnvironmentSatisfaction,0.003,-0.003,-0.229,-0.105
JobSatisfaction,-0.009,-0.03,-0.16,0.508
RelationshipSatisfaction,0.016,0.067,-0.053,-0.409
JobInvolvement,-0.001,0.033,0.378,-0.235
WorkLifeBalance,0.013,-0.024,-0.185,-0.27
