covariancia,k,bic,aic,log_verossimilhanca,convergiu,silhueta,pct_fronteira,menor_grupo,maior_grupo
full,2,-48388.2,-62420.0,33861.0,True,0.0789,0.0,508,962
full,3,-101499.0,-122549.3,65251.6,True,0.0936,0.0,184,825
full,4,-112520.2,-140589.1,75597.5,True,0.0803,0.0,182,596
full,5,-124463.3,-159550.7,86404.3,True,0.0722,0.0,182,409
tied,2,30366.7,23083.5,-10165.7,True,0.1369,0.0,182,1288
tied,3,10284.7,2731.5,61.2,True,0.0846,0.0,182,879
tied,4,-10876.7,-18699.7,10827.9,True,0.1011,0.0,80,827
tied,5,-31979.5,-40072.6,21565.3,True,0.1095,0.0,80,827
diag,2,111653.0,110589.1,-55093.6,True,0.0614,0.0,686,784
diag,3,23661.1,22062.6,-10729.3,True,0.0935,0.0,182,827
diag,4,-5293.9,-7426.9,4116.5,True,0.0987,0.0,52,827
diag,5,-34393.9,-37061.5,19034.8,True,0.0895,0.0,63,551
spherical,2,204744.6,204199.4,-101996.7,True,0.1319,0.0082,346,1124
spherical,3,200937.8,200117.4,-99903.7,True,0.0749,0.0109,332,744
spherical,4,198290.7,197195.1,-98390.5,True,0.0942,0.0082,58,750
spherical,5,197446.2,196075.3,-97778.7,True,0.0591,0.0061,58,501
